author_text,qid,query_date,country_of_birth,gender,country_of_citizenship,ethnicity,sexual_orientation,date_of_birth,date_of_death
Anonimo. Quevedo,,2025-12-10,,,,,,,
Andrea Cirillo,,2025-12-10,,,,,,,
Arthur C. Clarke,Q47087,2025-12-10,,,,,,,
Bater Makhabel,,2025-12-10,,,,,,,
Antoine de Saint-Exupéry,Q2908,2025-12-10,,,,,,,
Aleix Saló,Q4319457,2025-12-10,,,,,,,
Dorian Lynskey,Q61710065,2025-12-10,,,,,,,
David Wengrow,Q64594136,2025-12-10,,,,,,,
David Trueba,Q960778,2025-12-10,,,,,,,
Elinor Ostrom,Q153761,2025-12-10,,,,,,,
Edina Berlinger,,2025-12-10,,,,,,,
Jaron Lanier,Q92862,2025-12-10,,,,,,,
Jaynal Abedin,Q92954902,2025-12-10,,,,,,,
Jonas Jonasson,Q923556,2025-12-10,,,,,,,
Francesc Torralba Roselló,Q15446321,2025-12-10,,,,,,,
Ferenc Illes,,2025-12-10,,,,,,,
Eric Bronson,Q93224190,2025-12-10,,,,,,,
Francisco Muñoz de Bustillo,,2025-12-10,,,,,,,
Gergely Daroczi,Q58328518,2025-12-10,,,,,,,
Gregory Bassham,Q85455100,2025-12-10,,,,,,,
Geronimo Stilton,Q1749076,2025-12-10,,,,,,,
Hrishi V. Mittal,,2025-12-10,,,,,,,
Lea Ypi,Q109453577,2025-12-10,,,,,,,
James S.A. Corey,,2025-12-10,,,,,,,
Jacques M. Chevalier,Q136706558,2025-12-10,,,,,,,
Ignacio Farias,Q137159686,2025-12-10,,,,,,,
Jan Lin,Q5956750,2025-12-10,,,,,,,
Mike Parker,Q6848314,2025-12-10,,,,,,,
Michael Hardt,Q918655,2025-12-10,,,,,,,
Michael Crichton,Q172140,2025-12-10,,,,,,,
Margit Mayer,Q1735422,2025-12-10,,,,,,,
Marcus Chown,Q1894130,2025-12-10,,,,,,,
Marco Vitrúvio Polião,Q47163,2025-12-10,,,,,,,
Manuel Castells,Q310161,2025-12-10,,,,,,,
Massimo Cacciari,Q369756,2025-12-10,,,,,,,
Mark Shepard,Q125179900,2025-12-10,,,,,,,
Mitch Albom,Q378878,2025-12-10,,,,,,,
Mayo Fuster Morell,Q18631907,2025-12-10,,,,,,,
Nacho Carretero,Q49788748,2025-12-10,,,,,,,
Neil Brenner,Q58242728,2025-12-10,,,,,,,
Milan Badics,,2025-12-10,,,,,,,
Sean Deming,,2025-12-10,,,,,,,
Pedro González Calero,,2025-12-10,,,,,,,
Paul Strathern,Q3312178,2025-12-10,,,,,,,
Peter Marcuse,Q1687190,2025-12-10,,,,,,,
Philip K. Dick,Q171091,2025-12-10,,,,,,,
Sheldon Wolin,Q3481823,2025-12-10,,,,,,,
Sergio Fernandez,Q3479657,2025-12-10,,,,,,,
Stéphane Hessel,Q165110,2025-12-10,,,,,,,
Susana Lluna,,2025-12-10,,,,,,,
Todd Tomlinson,,2025-12-10,,,,,,,
Unknown,,2025-12-10,,,,,,,
anonymous,Q86167,2025-12-10,,,,,,,
Yochai Benkler,Q982240,2025-12-10,,,,,,,
Leopoldo Abadía,Q3288702,2025-12-15,,,,,,,
Hisao Tamaki,Q102267951,2025-12-15,,,,,,,
Christian Borch,Q57907124,2025-12-15,,,,,,,
Benjamin Briggent,,2025-12-15,,,,,,,
Anne Wiesen,,2025-12-15,,,,,,,
Raúl Gómez (Maraton Man),,2025-12-15,,,,,,,
Apostolos K. Doxiadēs,Q620479,2025-12-15,,,,,,,
Gretchen N Peterson,,2025-12-15,,,,,,,
Julia Wertz,Q6306840,2025-12-15,,,,,,,
Pol Guasch,Q104884760,2025-12-15,,,,,,,
Lauren F. Klein,Q98502620,2025-12-15,,,,,,,
Naomi Alderman,Q6964613,2025-12-15,,,,,,,
Libby Bishop,,2025-12-15,,,,,,,
Llàtzer Moix,Q5977937,2025-12-15,,,,,,,
Gemma Ruiz,Q26727291,2025-12-15,,,,,,,
Proyecto Una,,2025-12-15,,,,,,,
Àngel Guimerà,Q175485,2025-12-15,,,,,,,
Alfonso Vegara,Q5667281,2025-12-15,,,,,,,
Michel Foucault,Q44272,2025-12-15,,,,,,,
Louise Corti,Q57422154,2025-12-15,,,,,,,
Elizabeth Manton,Q110247625,2025-12-15,,,,,,,
Enrique Jiménez Corominas,Q5833455,2025-12-15,,,,,,,
Matilde Horne,Q102213,2025-12-15,,,,,,,
Kate Raworth,Q37424557,2025-12-15,,,,,,,
Rubén Masera,Q106698087,2025-12-15,,,,,,,
Lindsay K. Campbell,Q131403866,2025-12-15,,,,,,,
Viktor E. Frankl,Q154723,2025-12-15,,,,,,,
Jessamy Hibberd,Q119582866,2025-12-15,,,,,,,
Luis Domènech,Q317876,2025-12-15,,,,,,,
Manuel Baixauli,Q11934921,2025-12-15,,,,,,,
Noam Chomsky,Q9049,2025-12-15,,,,,,,
Eva Illouz,Q48868,2025-12-15,,,,,,,
Cristina Macía Orío,Q112533566,2025-12-15,,,,,,,
Linus Torvalds,Q34253,2025-12-15,,,,,,,
Isabel del Barrio,,2025-12-15,,,,,,,
Ray Bradbury,Q40640,2025-12-15,,,,,,,
David Allen,Q178369,2025-12-15,,,,,,,
James Cheshire,Q64666891,2025-12-15,,,,,,,
David Harvey,Q343055,2025-12-15,,,,,,,
Dan Brown,Q7345,2025-12-15,,,,,,,
Ngozi Adichie,Q230141,2025-12-15,,,,,,,
John Grisham,Q106465,2025-12-15,,,,,,,
Nathan Yau,Q77324500,2025-12-15,,,,,,,
Pekka Himanen,Q2499460,2025-12-15,,,,,,,
Spencer Johnson,Q200760,2025-12-15,,,,,,,
Nick Srnicek,Q24006336,2025-12-15,,,,,,,
Aldous Huxley,Q81447,2025-12-15,,,,,,,
Elena Álvarez Mellado,Q48331782,2025-12-15,,,,,,,
Albert Sánchez Piñol,Q540695,2025-12-15,,,,,,,
Sam Williams,Q108052870,2025-12-15,,,,,,,
Sabina Urraca,Q45457299,2025-12-15,,,,,,,
Jo Nesbø,Q202693,2025-12-15,,,,,,,
Hermann Hesse,Q25973,2025-12-15,,,,,,,
Deyan Sudjic,Q3025635,2025-12-15,,,,,,,
Lorenzo Barnó,,2025-12-15,,,,,,,
Jason Hickel,Q79783723,2025-12-15,,,,,,,
Carlota Vallès,,2025-12-15,,,,,,,
Víctor Manuel García de Isusi,,2025-12-15,,,,,,,
Erica Moore,Q119557782,2025-12-15,,,,,,,
Arthur Conan Doyle,Q35610,2025-12-15,,,,,,,
Fernando Gamboa,Q2881225,2025-12-15,,,,,,,
Toni de la Torre,Q93381353,2025-12-15,,,,,,,
Therese Huston,,2025-12-15,,,,,,,
Ted Chiang,Q503095,2025-12-15,,,,,,,
Martin Dittus,Q55527659,2025-12-15,,,,,,,
Scott McCloud,Q454833,2025-12-15,,,,,,,
Álvaro Sevilla-Buitrago,,2025-12-15,,,,,,,
Francesca Ferguson,Q107332955,2025-12-15,,,,,,,
Anna Minton,Q4767351,2025-12-15,,,,,,,
Lluis Solanes,Q118811234,2025-12-15,,,,,,,
Leslie Kern,Q112549618,2025-12-15,,,,,,,
Marta G. Franco,Q126965202,2025-12-15,,,,,,,
Javier Burón,,2025-12-15,,,,,,,
Catherine D'Ignazio,Q96083446,2025-12-15,,,,,,,
Nick Hornby,Q313007,2025-12-15,,,,,,,
Tom Sharpe,Q436801,2025-12-15,,,,,,,
Mark Graham,Q115869894,2025-12-15,,,,,,,
Alana S. Portero,Q118998434,2025-12-15,,,,,,,
Simon Kuper,Q2118355,2025-12-15,,,,,,,
Natalia de Santiago,,2025-12-15,,,,,,,
John le Carré,Q209641,2025-12-15,,,,,,,
Andrea Abreu López,Q99527353,2025-12-15,,,,,,,
Jeremy Crampton,Q106645138,2025-12-15,,,,,,,
Dai Sijie,Q513004,2025-12-15,,,,,,,
Veerle Van den Eynden,Q112343704,2025-12-15,,,,,,,
Agnieszka Stepien,Q62633215,2025-12-15,,,,,,,
Yuval Noah Harari,Q2484404,2025-12-15,,,,,,,
Bruno Vincent,Q90976266,2025-12-15,,,,,,,
Anita Graser,Q55834001,2025-12-15,,,,,,,
Jenny Odell,Q68924784,2025-12-15,,,,,,,
Miquel Martín i Serra,Q16943323,2025-12-15,,,,,,,
Edgar Cabanas,Q111710065,2025-12-15,,,,,,,
John Scalzi,Q277308,2025-12-15,,,,,,,
Michael Steinmetz,Q88651360,2025-12-15,,,,,,,
Bill McKibben,Q503815,2025-12-15,,,,,,,
Kohei Saito,Q26043406,2025-12-15,,,,,,,
Edward W. Soja,Q1283228,2025-12-15,,,,,,,
Martin Kornberger,Q111149268,2025-12-15,,,,,,,
Urban Drift Projects in cooperation with the Berlin Senate for Urban Development,,2025-12-15,,,,,,,
Oliver Uberti,Q130768808,2025-12-15,,,,,,,
Ursula K. Le Guin,Q181659,2025-12-15,,,,,,,
Irene Solà,Q19291157,2025-12-15,,,,,,,
Daniel J. Buckles,Q112565168,2025-12-15,,,,,,,
Andrzej Sapkowski,Q312101,2025-12-15,,,,,,,
Matthew Woollard,Q81188087,2025-12-15,,,,,,,
Jules Boykoff,Q6305761,2025-12-15,,,,,,,
Hisao Tamaki,Q102267951,,,,,,,,
Anne Wiesen,,,,,,,,,
Apostolos K. Doxiadēs,Q620479,,Australia,male,Greece,,,1953-06-06T00:00:00Z,
Julia Wertz,Q6306840,,United States,female,United States,,,1982-12-29T00:00:00Z,
Pol Guasch,Q104884760,,Spain,male,Spain,,homosexuality,1997-12-31T00:00:00Z,
Lauren F. Klein,Q98502620,,United States,female,United States,,,2000-01-01T00:00:00Z,
Naomi Alderman,Q6964613,,United Kingdom,female,United Kingdom,,non-heterosexuality,1974-10-23T00:00:00Z,
Llàtzer Moix,Q5977937,,Spain,male,Spain,,,1955-01-01T00:00:00Z,
Proyecto Una,,,,,,,,,
Àngel Guimerà,Q175485,,Spain,male,Spain,,,1845-05-06T00:00:00Z,1924-07-18T00:00:00Z
Alfonso Vegara,Q5667281,,Spain,male,Spain,,,1955-01-01T00:00:00Z,
Michel Foucault,Q44272,,France,male,France,,homosexuality,1926-10-15T00:00:00Z,1984-06-25T00:00:00Z
Louise Corti,Q57422154,,,female,,,,,
Elizabeth Manton,Q110247625,,,,,,,,
Enrique Jiménez Corominas,Q5833455,,Spain,male,Spain,,,1969-09-03T00:00:00Z,
Lindsay K. Campbell,Q131403866,,,female,,,,1981-01-01T00:00:00Z,
Viktor E. Frankl,Q154723,,Austria,male,Austria,,,1905-03-26T00:00:00Z,1997-09-02T00:00:00Z
Luis Domènech,Q317876,,Spain,male,Spain,,,1850-12-21T00:00:00Z,1923-12-27T00:00:00Z
Manuel Baixauli,Q11934921,,Spain,male,Spain,,,1963-10-02T00:00:00Z,
Noam Chomsky,Q9049,,United States,male,United States,Ashkenazi Jews,,1928-12-07T00:00:00Z,
Ray Bradbury,Q40640,,United States,male,United States,,,1920-08-22T00:00:00Z,2012-06-05T00:00:00Z
David Allen,Q178369,,,male,United States,,,1945-12-28T00:00:00Z,
James Cheshire,Q64666891,,,male,,,,,
Ngozi Adichie,Q230141,,Nigeria,female,Nigeria,Igbo people,,1977-09-15T00:00:00Z,
Spencer Johnson,Q200760,,United States,male,United States,,,1938-11-24T00:00:00Z,2017-07-03T00:00:00Z
Albert Sánchez Piñol,Q540695,,Spain,male,Spain,,,1965-07-11T00:00:00Z,
Jo Nesbø,Q202693,,Norway,male,Norway,,,1960-03-29T00:00:00Z,
Jason Hickel,Q79783723,,Eswatini,male,,,,1982-12-26T00:00:00Z,
Carlota Vallès,,,,,,,,,
Víctor Manuel García de Isusi,,,,,,,,,
Fernando Gamboa,Q2881225,,Spain,male,Spain,,,1970-03-01T00:00:00Z,
Ted Chiang,Q503095,,United States,male,United States,,,1967-10-20T00:00:00Z,
Francesca Ferguson,Q107332955,,Italy,female,United States,,,1955-12-09T00:00:00Z,
Anna Minton,Q4767351,,United Kingdom,female,,,,1970-04-19T00:00:00Z,
Leslie Kern,Q112549618,,,female,Canada,,,1975-01-01T00:00:00Z,
Marta G. Franco,Q126965202,,,female,Spain,,,2000-01-01T00:00:00Z,
Javier Burón,,,,,,,,,
Alana S. Portero,Q118998434,,Spain,trans woman,Spain,,,1978-01-01T00:00:00Z,
Tom Sharpe,Q436801,,United Kingdom,male,United Kingdom,,,1928-03-30T00:00:00Z,2013-06-06T00:00:00Z
Simon Kuper,Q2118355,,Uganda,male,France,,,1969-10-15T00:00:00Z,
Jeremy Crampton,Q106645138,,Ghana,male,,,,,
Dai Sijie,Q513004,,People's Republic of China,male,People's Republic of China,,,1954-03-02T00:00:00Z,
Jenny Odell,Q68924784,,United States,female,United States,,,1986-01-01T00:00:00Z,
Miquel Martín i Serra,Q16943323,,Spain,male,Spain,,,1969-08-14T00:00:00Z,
Edgar Cabanas,Q111710065,,,male,,,,,
Edward W. Soja,Q1283228,,United States,male,United States,,,1940-05-04T00:00:00Z,2015-11-02T00:00:00Z
Urban Drift Projects in cooperation with the Berlin Senate for Urban Development,,,,,,,,,
Oliver Uberti,Q130768808,,,male,,,,,
Ursula K. Le Guin,Q181659,,United States,female,United States,,,1929-10-21T00:00:00Z,2018-01-22T00:00:00Z
Irene Solà,Q19291157,,Spain,female,Spain,,,1990-08-17T00:00:00Z,
Daniel J. Buckles,Q112565168,,,male,,,,1955-01-01T00:00:00Z,
Matthew Woollard,Q81188087,,,male,,,,,
Jules Boykoff,Q6305761,,United States,male,United States,,,1970-09-11T00:00:00Z,
Leopoldo Abadía,Q3288702,,Spain,male,Spain,,,1933-09-07T00:00:00Z,
Christian Borch,Q57907124,,,male,Kingdom of Denmark,,,1973-01-01T00:00:00Z,
Benjamin Briggent,,,,,,,,,
Raúl Gómez (Maraton Man),,,,,,,,,
Gretchen N Peterson,,,,,,,,,
Libby Bishop,,,,,,,,,
Gemma Ruiz,Q26727291,,Spain,female,Spain,,,1975-12-06T00:00:00Z,
Matilde Horne,Q102213,,Argentina,female,Argentina,,,1914-01-01T00:00:00Z,2008-06-10T00:00:00Z
Kate Raworth,Q37424557,,,female,United Kingdom,,,1970-12-13T00:00:00Z,
Rubén Masera,Q106698087,,,male,,,,,
Jessamy Hibberd,Q119582866,,,female,,,,,
Eva Illouz,Q48868,,Morocco,female,France,,,1961-04-30T00:00:00Z,
Cristina Macía Orío,Q112533566,,,female,,,,1965-01-01T00:00:00Z,
Linus Torvalds,Q34253,,Finland,male,United States,,,1969-12-28T00:00:00Z,
Isabel del Barrio,,,,,,,,,
David Harvey,Q343055,,United Kingdom,male,United Kingdom,,,1935-10-31T00:00:00Z,
Dan Brown,Q7345,,United States,male,United States,,,1964-06-22T00:00:00Z,
John Grisham,Q106465,,United States,male,United States,,,1955-02-08T00:00:00Z,
Nathan Yau,Q77324500,,United States,male,,,,,
Pekka Himanen,Q2499460,,Finland,male,Finland,,,1973-10-19T00:00:00Z,
Nick Srnicek,Q24006336,,Canada,male,United Kingdom,,,1982-12-13T00:00:00Z,
Aldous Huxley,Q81447,,United Kingdom,male,United Kingdom,,,1894-07-26T00:00:00Z,1963-11-22T00:00:00Z
Elena Álvarez Mellado,Q48331782,,Spain,female,Spain,,,1987-01-01T00:00:00Z,
Sam Williams,Q108052870,,United States,male,United States,,,1999-03-31T00:00:00Z,
Sabina Urraca,Q45457299,,Spain,female,Spain,,,1984-01-04T00:00:00Z,
Hermann Hesse,Q25973,,Germany,male,Switzerland,,,1877-07-02T00:00:00Z,1962-08-09T00:00:00Z
