title,author_text,remote_id,openlibrary_key,finna_key,inventaire_id,librarything_key,goodreads_key,bnf_id,viaf,wikidata,asin,aasin,isfdb,isbn_10,isbn_13,oclc_number,start_date,finish_date,stopped_date,rating,review_name,review_cw,review_content,review_published,shelf,shelf_name,shelf_date,pages,language
From subjects to subjectivities : a handbook of interpretive and participatory methods,,https://bookwyrm.social/book/1351682,,,isbn:9780814782590,,,,,,,,,814782590,9780814782590.0,,,,,,,,,,to-read,To Read,2023-08-18,,en
Fundación,Isaac Asimov,https://bookwyrm.social/book/345175,,,,,,,,,,,,8498009847,9788498009842.0,,2017-04-29,2019-01-28,,1.0,,,,,read,Read,2017-04-29,,es
Geographies of Digital Exclusion,"Mark Graham, Martin Dittus",https://bookwyrm.social/book/344530,OL29504772M,,,,,,,,,,,745340180,9780745340180.0,,2022-03-14,2022-12-27,,3.0,"Irregular, but worth reading",,"The book starts really strong. The first chapters are catchy and relevant and they are very well written, too. Additionally, it is methodologically sound and some of their findings are interesting. Regretfully, at some points it becomes quite repetitive (in terms of methods and results) and, the methodology is sometimes unconsistent, unclear (i.e. I'd like to fully understand how the searches were made) and even questionable. 

Actually, what I found to be more controversial is the decision of comparing Google Maps and Wikipedia. Mainly because they are very different in purpose and contents, but also because I believe that OpenStreetMap would have been a fairer comparison or bridge between the two. It is true that there are some mentions and comparisons to it, but the book claims to focus only oncomparing Google Maps and Wikipedia alone, and therefore, OpenStreetMap is something accessory and not as extensively or consistently as the previous ones.

In any case, just because it raises so many questions and comments that I'd love to discuss with their authors should I had the chance, I believe it is worth reading and I would recomment it despite it didn't match my initial expectations (which admittedly were very high).",2022-12-28,read,Read,2022-12-27,,en
Getting Things Done,David Allen,https://bookwyrm.social/book/15347,OL7360123M,,isbn:9780142000281,,1633.0,,,,,,,142000280,9780142000281.0,51540420.0,,2008-12-31,,,,,,,read,Read,2017-11-04,,en
Governing the Commons,Elinor Ostrom,https://bookwyrm.social/book/148184,,,isbn:9780521405997,,,,,,,,,521405998,9780521405997.0,,2015-02-22,2015-03-01,,4.0,,,,,read,Read,2015-02-22,,en
Ground control,Anna Minton,https://bookwyrm.social/book/180309,OL24075677M,,,,,,,,,,,141033916,9780141033914.0,,,,,,,,,,to-read,To Read,2017-12-29,,en
Hamlet,William Shakespeare,https://bookwyrm.social/book/119466,OL7748879M,,,,,,,,,,,521618746,9780521618748.0,60964905.0,,,,,,,,,read,Read,2017-11-04,,es
Happycracia,"Eva Illouz, Edgar Cabanas",https://bookwyrm.social/book/599752,OL37761286M,,,,,,,,,,,,,,,,,,,,,,to-read,To Read,2024-03-20,368.0,es
Here Comes the Sun,Bill McKibben,https://bookwyrm.social/book/2108217,,,,,,,,,,,,1324106239,9781324106234.0,,,,,,,,,,to-read,To Read,2025-10-22,,en
High Fidelity,Nick Hornby,https://bookwyrm.social/book/177792,OL7352536M,,,,,,,,,,,140293469,9780140293463.0,,,2007-01-01,,4.0,,,,,read,Read,2017-05-09,,en
"Homenaje a Tolkien, 19 relatos fantasticos",Unknown,https://bookwyrm.social/book/180266,OL25896083M,,,,,,,,,,,8441302766,9788441302761.0,,,1996-01-01,,3.0,,,,,read,Read,2021-01-06,,es
How the World Works,Noam Chomsky,https://bookwyrm.social/book/345168,OL25425049M,,,,,,,,,,,241145384,9780241145388.0,,,,,,,,,,to-read,To Read,2022-03-07,,en
Humankind: A Hopeful History,Rutger Bregman,https://bookwyrm.social/book/344520,,,isbn:9780316418539,,52879286.0,,,,,,,316418536,9780316418539.0,,,,,,,,,,to-read,To Read,2022-03-05,,en
I ara jo què faig?,Andreu Escrivà,https://bookwyrm.social/book/1266679,OL32042205M,,,,,,,,,,,8416698562,9788416698561.0,,2023-07-18,2023-08-05,,3.0,Difícil de clasificar,,"Como persona que padece de ecoansiedad hacía tiempo que quería leer este libro. Tanto su autor como el título, parecían sugerir proporcionar las claves para gestionar mejor este sentimiento que me paraliza y angustia desde hace tiempo y, sobre todo, para orientar la acción hacia la causa de la sostenibilidad.
Y seré franco: no encontré eso en el libro.  ¿Significa eso que sea un mal libro? ¡En absoluto! Es un libro muy bien escrito, con una primera mitad que describe de forma certera, aportando datos, y con una visión muy interesante, la situación de emergencia climática que vivimos. Y creo que consigue transmitir los dos mensajes que quería transmitir: 1) esto es una emergencia, y 2) es necesario actuar (y por qué no podemos dejar de hacerlo). 
Sin embargo, las claves que proporciona Escrivà en la segunda mitad del libro me parecieron confusas y a veces muy tangenciales o manidas. Y es que, en el fondo, creo que ahí está la dificultad del libro: Por un lado, Escrivà se resiste a dar recetas de cocina que puedan aplicarse de forma inmediata como solución a todo. Por otro, es lo que el título sugiere y lo que el lector busca. Creo que el problema es esta tensión no resuelta es la que hace que el libro no sea mejor de lo que podría ser.",2023-12-10,read,Read,2023-08-05,161.0,ca
I Feel Bad About My Neck,Nora Ephron,https://bookwyrm.social/book/305020,OL9344203M,,,,,,,,,,,307264556,9780307264558.0,63122534.0,2025-10-04,2025-10-25,,3.0,,,,,read,Read,2025-10-25,,en
Imposter Cure,Jessamy Hibberd,https://bookwyrm.social/book/345156,OL28711728M,,,,,,,,,,,1783253061,9781783253067.0,,2023-10-12,2023-12-27,,5.0,Therapeutical reading,,"I've been aware of my Imposter syndrome for quite a long time, but this book has helped me to know more about the syndrome and about myself, too.

An excellent book (or should I say therapy?) to understand what causes the imposter syndrome (spoiler alert, it's mainly us!), how to detect the underlying mechanisms and replace them with new ones to turn a vicious circle into a virtuous one.

I'd recommend it to anyone, without doubt.",2023-12-27,read,Read,2023-12-27,,en
Introducing Philosophy (Introducing...(Totem)),"Dave Robinson, Judy Groves",https://bookwyrm.social/book/1612447,OL8915700M,,,,,,,,,,,1840460539,9781840460537.0,,2025-01-08,2025-01-30,,2.0,,,,,read,Read,2025-01-30,176.0,en
Inventari de Can Batlló: Teixint una història col·lectiva,LaCol,https://bookwyrm.social/book/345390,,,,,,,,,,,,846168186X,9788461681860.0,,,,,3.0,,,,,read,Read,2017-11-04,173.0,ca
Invierte con poco,Natalia de Santiago,https://bookwyrm.social/book/517483,OL39206891M,,,,,,,,,,,8408257382,9788408257387.0,,2022-09-22,2022-10-01,,3.0,Interesante,,"Se trata de un libro muy diferente a su anterior obra, ""Invierte en ti"". Si bien conserva de él el estilo de escritura (pedagógico y divertido) que es capaz de contar cosas complejas de forma sencilla, es un libro menos generalista, más aplicado. También es más especialista. Al ser menos genérico, se abordan menos temas con mayor profundidad, lo cual es muy positivo. Sin embargo, tengo la sensación de que algunos capítulos (por ejemplo tipos de fondos de inversión) no están equilibroados y hay un gran salto de lo genérico a lo muy específico. También he echado de menos que se desarrollase más el último capítulo, con consejos o criterios para invertir, lo cual lo haría más aplicado todavía (que entiendo que es su vocación -aunque entiendo lo difícil de hacerlo dado que hay tantas casuísticas como lectores). Es un libro que tendré que volver a leer para poder aprovecharlo del todo.",2022-10-01,read,Read,2023-01-09,,es
Invierte en ti,Natalia de Santiago,https://bookwyrm.social/book/507712,OL31877500M,,,,,,,,,,,8408237209,9788408237204.0,,2022-08-07,2022-08-12,,4.0,Imprescindible,,"Un libro sobre educación financiera que cubre un amplio abanico de temas: presupuestos, inversiones, jubilación, seguros... y conceptos básicos pero no por ello menos importantes. Y lo mejor: lo hace de forma no solo amena, sino divertida y sin juzgar si la teoría y la realidad no siempre casan (me ha encantado que la autora se pone a menudo de ejemplo de cómo no hacer las cosas).
Siempre he pensado que debía de aprender sobre educación financiera para ser yo quien tome las decisiones sobre mi economía, en lugar del mercado, el banco o el borreguismo. Lo que nunca había imaginado es que disfrutaría tanto leyendo al respecto, e incluso, me divertiría.",2022-08-15,read,Read,2022-08-15,,es
Invisible Women,Caroline Criado Perez,https://bookwyrm.social/book/1578413,,,,,,,,,,,,1784741728,9781784741723.0,,2024-03-15,2024-06-24,,4.0,,,,,read,Read,2024-06-24,411.0,en
Jesús m'estima,David Safier,https://bookwyrm.social/book/345431,,,isbn:9788497876704,,,,,,,,,8497876709,9788497876704.0,,,2013-01-01,,3.0,,,,,read,Read,2017-04-29,,ca
Juego de tronos,George R. R. Martin,https://bookwyrm.social/book/8033,OL25935251M,,,,,,,,,,,8496208923,9788496208926.0,828376921.0,,2012-01-01,,5.0,,,,,read,Read,2017-05-09,771.0,es
L'avi de 100 anys que es va escapar per la finestra,"Jonas Jonasson, Lluis Solanes",https://bookwyrm.social/book/345404,,,isbn:9788496735651,,,,,,,,,8496735656,9788496735651.0,,,2014-05-01,,3.0,,,,,read,Read,2017-09-06,,ca
La ciudad,Massimo Cacciari,https://bookwyrm.social/book/345353,,,isbn:9788425223310,,,,,,,,,8425223318,9788425223310.0,,,2016-01-14,,5.0,,,,,read,Read,2017-05-10,,es
La ciudad de los arquitectos,Llàtzer Moix,https://bookwyrm.social/book/180286,OL924333M,,,,,,,,,,,843392530X,9788433925305.0,,,,,4.0,,,,,read,Read,2019-03-07,,es
La ciudad de los prodigios,Eduardo Mendoza,https://bookwyrm.social/book/180365,OL26497157M,,,,,,,,,,,8422623536,9788422623533.0,,,,,3.0,,,,,read,Read,2017-10-20,426,es
La Ciudad de Vapor,Carlos Ruiz Zafón,https://bookwyrm.social/book/180272,OL31386319M,,,,,,,,,,,8408235001,9788408235002.0,,2020-12-31,2020-12-31,,2.0,Descartados y descartables,,"<p>No está a la altura de las anteriores novelas. Más que un homenage al autor por parte del editor más bien parece una voluntad de estirar el chicle a partir de recopilar una serie de borradores y descartes del autor. </p>
<p>Algunas historias son excesivamente pretenciosas y manidas. Destaca muy negativamente los personaes femeninos.Los pocos que hay son secundarios y limitados exclusivamente a objetos de admiración sin apenas voluntad cuya única virtud es la belleza y están destinadas a servir a otros personajes masculinos.</p>",2021-08-24,read,Read,2020-12-31,479,es
La crisis ninja y otros misterios de la economía actual  ,,https://bookwyrm.social/book/180345,OL26201697M,,,,,,,,,,,8467030151,9788467030150.0,,2011-01-01,2011-03-01,,4.0,,,,,read,Read,2017-11-03,208,es
La drecera,Miquel Martín i Serra,https://bookwyrm.social/book/345159,,,,,,,,,,,,8417339450,9788417339456.0,,2020-09-14,2020-09-19,,4.0,,,,,read,Read,2020-09-14,,ca
La espada de Shannara,Terry Brooks,https://bookwyrm.social/book/345386,,,,,,,,,,,,8470024051,9788470024054.0,,,1994-01-01,,3.0,,,,,read,Read,2017-05-10,,es
La invasión divina,Philip K. Dick,https://bookwyrm.social/book/345425,,,isbn:9788445001356,,,,,,,,,8445001353,9788445001356.0,,,,,1.0,,,,,read,Read,2017-11-03,,es
La mala costumbre,Alana S. Portero,https://bookwyrm.social/book/991339,OL47645550M,,,,,,,,,,,8432242128,9788432242120.0,,2025-02-25,2025-03-07,,5.0,,,,,read,Read,2025-03-07,,es
La pell freda,Albert Sánchez Piñol,https://bookwyrm.social/book/180373,OL19376292M,,,,,,,,,,,8495616254,9788495616258.0,,,2017-10-20,,4.0,,,,,read,Read,2017-10-20,307,ca
La sociedad red : una visión global,"Francisco Muñoz de Bustillo, Manuel Castells",https://bookwyrm.social/book/180387,,,isbn:9788420647845,,,,,,,,,8420647845,9788420647845.0,,,2012-01-01,,4.0,,,,,read,Read,2017-05-09,,es
La sombra del viento,Carlos Ruiz Zafón,https://bookwyrm.social/book/122380,OL23038029M,,,,,,,,,,,974872407,9780974872407.0,1150076482.0,,2006-01-01,,5.0,,,,,read,Read,2015-02-23,,es
La vida de Lazarillo de Tormes,Anonimo. Quevedo,https://bookwyrm.social/book/345419,,,isbn:9788474616965,,,,,,,,,8474616964,9788474616965.0,,,1996-01-01,,,,,,,,,,,es
La vida i la mort d'en Jordi Fraginals,Josep Pous i Pagès,https://bookwyrm.social/book/180343,OL4133960M,,,,,,,,,,,8429714693,9788429714692.0,,,,,3.0,,,,,read,Read,2017-11-03,252.0,ca
La vida mola,Raúl Gómez (Maraton Man),https://bookwyrm.social/book/2070417,OL47111726M,,,,,,,,,,,840102174X,9788401021749.0,,,2022-01-19,,4.0,,,,,read,Read,2025-08-19,,es
La vida según Sheldon,Toni de la Torre,https://bookwyrm.social/book/345183,,,,,,,,,,,,8448020774,9788448020774.0,,,2018-07-03,,2.0,,,,,read,Read,2018-07-03,,es
La viga en el ojo: escritos a tiempo,Fredy Massad,https://bookwyrm.social/book/345161,,,,,,,,,,,,8494348736,9788494348730.0,,,2018-01-01,,4.0,,,,,read,Read,2018-04-29,,es
La viralidad del mal,Proyecto Una,https://bookwyrm.social/book/1741541,,,,,,,,,,,,8418283750,9788418283758.0,,,,,,,,,,to-read,To Read,2024-10-20,,es
Las piedras élficas de Shannara,Terry Brooks,https://bookwyrm.social/book/345433,,,isbn:9788470024108,,,,,,,,,8470024108,9788470024108.0,,,1994-01-01,,4.0,,,,,read,Read,2017-05-10,590.0,es
Las redes son nuestras,Marta G. Franco,https://bookwyrm.social/book/1640284,,,,,,,,,,,,8419490261,9788419490261.0,,,,,,,,,,to-read,To Read,2025-08-18,,es
Lazarillo de Tormes,"Michael Alpert, Francisco de Quevedo, Anonymous",https://bookwyrm.social/book/180280,OL3708099M,,,,,,,,,,,140449000,9780140449006.0,52357826.0,1996-01-01,1996-01-01,,,,,,,read,Read,2017-05-10,203.0,es
Learning QGIS,Anita Graser,https://bookwyrm.social/book/180327,OL26975303M,,,,,,,,,,,1784392030,9781784392031.0,907471100.0,,,,,,,,,to-read,To Read,2017-11-04,,en
Lectura fácil,Cristina Morales,https://bookwyrm.social/book/307813,OL28192129M,,,,,,,,,,,8433998641,9788433998644.0,1076460034.0,,,,,,,,,to-read,To Read,2024-02-20,,es
Less Is More,Jason Hickel,https://bookwyrm.social/book/81107,OL29518280M,,,,,,,,,,,1786091216,9781786091215.0,,,,,,,,,,to-read,To Read,2023-09-23,,en
Libre,Lea Ypi,https://bookwyrm.social/book/1730398,OL48568086M,,,,,,,,,,,,9788433904966.0,,,,,,,,,,to-read,To Read,2025-09-03,,es
Lo que Sócrates diría a Woody Allen,Juan Antonio Rivera,https://bookwyrm.social/book/180353,OL3351591M,,,,,,,,,,,8467012617,9788467012613.0,,,,,5.0,Combo perfecto,,"<p>Una combinación perfecta y bien contada.  Juan Antonio Rivera tiene una forma de contar las películas y de reflexionar sobre ellas que, al terminar cada capítulo, no puedes sino dejar de tener ganas de ver  (o volver a ver) la película con la mirada de Sócrates.</p>",2021-10-10,read,Read,2017-11-04,,es
Los desposeídos,"Ursula K. Le Guin, Matilde Horne",https://bookwyrm.social/book/380619,OL31967478M,,,,,,,,,,,8445009303,9788445009307.0,,2022-05-04,2022-08-06,,5.0,Ciencia ficción diferente,,"Es la primera obra que leo de Ursula K Le Guin y me ha encantado por lo distinta de otras obras de ciencia-ficción que he leído hasta el momento. Se trata de un universo muy cotidiano, sin grandes alardes tecnológicos, donde lo único de ficción puede ser la existencia de un planeta anarquista.  Y precisamente ahí está su virtud: te hace imaginar mundos muy distintos que a la vez serían muy posibles, y sobre todo, reflexionar sobre estructuras sociales cuestionando prejuicios.

Me costó un poco tomar ritmo, pero es que hay muchas cosas que contar para entender bien la vida en Anarres y, a su vez, entender mejor a Urras (muy parecida a nuestra sociedad actual). Me ha encantado la caracterización que hace de ambas sociedades/mundos, y tengo ganas de leer más.",2022-08-15,read,Read,2022-08-06,,es
Los juegos del hambre,Suzanne Collins,https://bookwyrm.social/book/17768,OL25426796M,,,,,,,,,,,8427202121,9788427202122.0,,2012-01-01,2012-01-01,,4.0,,,,,read,Read,2017-05-09,,es
Los nativos digitales no existen,Susana Lluna,https://bookwyrm.social/book/180288,OL26380043M,,,,,,,,,,,8423426599,9788423426591.0,,2018-02-06,2019-01-13,,2.0,Review of 'Los nativos digitales no existen' on 'GoodReads',,"Se trata de un libro que parte de una interesante premisa: a partir de textos corales e independientes cuestionar  la existencia de los supuestos nativos digitales para explorar la relación existente entre tecnología y... ¿niños? ¿adolescentes? ¿padres? ¿profesores? ¿profesionales? y los efectos que de ella se derivan. Sin embargo, los textos son muy irregulares y no queda claro en ningún momento a quién se dirige el libro, ya que cada autor parece tener targets diferentes. Eso, sumado a un excesivo tecno-determinismo y tecno-optimismo, hace que sea un libro del que apenas puedan aprovecharse unos pocos textos, incluso contando que algunos de ellos están escritos por los supuestos gurús, que parecen más preocupados en auto-citarse y seguir construyendo y vendiendo su relato que en escribir textos de calidad que resulten útiles al lector.",2019-01-13,read,Read,2018-02-06,,es
"Los superhéroes y la filosofía : la verdad, la justicia y el modo socrático",Aa. Vv,https://bookwyrm.social/book/345403,,,isbn:9788493827212,,,,,,,,,8493827215,9788493827212.0,,,,,,,,,,read,Read,2017-10-20,,es
Make_shift City,"Francesca Ferguson, Urban Drift Projects in cooperation with the Berlin Senate for Urban Development",https://bookwyrm.social/book/180379,OL28528881M,,,,,,,,,,,3868592237,9783868592238.0,,,2014-01-01,,2.0,,,,,read,Read,2015-02-22,,en
Maleït karma,"David Safier, Michael Steinmetz, Carlota Vallès",https://bookwyrm.social/book/345417,,,isbn:9788497876711,,,,,,,,,8497876717,9788497876711.0,,,2013-01-01,,,,,,,read,Read,2017-04-29,,ca
Managing and Sharing Research Data,"Louise Corti, Matthew Woollard, Veerle Van den Eynden, Libby Bishop",https://bookwyrm.social/book/345346,OL28725526M,,,,,,,,,,,1526460262,9781526460264.0,,2022-03-08,,,,,,,,reading,Currently Reading,2022-03-08,,en
Map Addict,Mike Parker,https://bookwyrm.social/book/717627,,,isbn:9780007351572,,,,,,,,,7351577,9780007351572.0,,2024-08-05,,,,,,,,reading,Currently Reading,2024-09-05,,en
Mapping (Critical Introductions to Geography),Jeremy Crampton,https://bookwyrm.social/book/639075,OL11650033M,,,,,,,,,,,1405121734,9781405121736.0,,2023-02-11,,,,,,,,reading,Currently Reading,2023-02-11,,en
Mapping with Drupal,Alan Palazzolo,https://bookwyrm.social/book/180331,OL25308791M,,,,,,,,,,,1449308945,9781449308940.0,747533370.0,,,,3.0,,,,,read,Read,2017-11-04,131.0,en
Martes con mi viejo profesor,Mitch Albom,https://bookwyrm.social/book/180274,OL47236802M,,isbn:9786074003703,,,,,,,,,607400370X,9786074003703.0,,,2001-01-01,,,,,,,read,Read,2020-08-24,,es
Más Platón y menos Prozac,Lou Marinoff,https://bookwyrm.social/book/180307,OL31442889M,,,,,,,,,,,8440696841,9788440696847.0,,,,,1.0,Review of 'Más Platón y menos Prozac' on 'GoodReads',,"Pésima traducción<br/>Marinoff solo trata de vender su libro (nunca mejor dicho), justificando lo valiosos que son los consejeros filosóficos como él.",2017-11-04,read,Read,2017-11-04,,es
Maya (Spanish Edition),Jostein Gaarder,https://bookwyrm.social/book/180383,OL9141987M,,,,,,,,,,,847844498X,9788478444984.0,,,2002-12-31,,3.0,,,,,read,Read,2017-05-09,,es
Mecanoscrit del segon origen,Manuel de Pedrolo,https://bookwyrm.social/book/170684,OL4822829M,,,,,,,,,,,8429710329,9788429710328.0,,,1993-01-01,,4.0,,,,,read,Read,2017-10-20,183.0,es
Memòries d'un segle d'or,Joan Triadú,https://bookwyrm.social/book/180301,OL23693122M,,,,,,,,,,,8484374211,9788484374213.0,291120330.0,,,,,,,,,to-read,To Read,2018-06-15,446.0,ca
Mirall trencat,Mercè Rodoreda,https://bookwyrm.social/book/180371,OL3222220M,,,,,,,,,,,842971944X,9788429719444.0,,,,,,,,,,read,Read,2017-10-20,297.0,ca
Moral Ambition,Rutger Bregman,https://bookwyrm.social/book/1981889,,,,,,,,,,,,1526680602,9781526680600.0,,,,,,,,,,to-read,To Read,2025-12-09,,en
Mutation,Robin Cook,https://bookwyrm.social/book/180349,OL18092604M,,,,,,,,,,,330309781,9780330309783.0,440653232.0,,,,3.0,,,,,read,Read,2017-11-04,,en
n+1. Tendencias compulsivas,José María Echarte,https://bookwyrm.social/book/345163,,,,,,,,,,,,8494791559,9788494791550.0,,,,,4.0,,,,,read,Read,2018-04-29,170.0,es
Napalm al cor,Pol Guasch,https://bookwyrm.social/book/180260,OL32186198M,,,,,,,,,,,8433915916,9788433915917.0,,,,,,,,,,to-read,To Read,2021-05-17,,en
No hay palabras,Francesc Torralba Roselló,https://bookwyrm.social/book/1783066,,,,,,,,,,,,8416245703,9788416245703.0,,,,,,,,,,to-read,To Read,2024-12-02,,es
Pandora al Congo,Albert Sánchez Piñol,https://bookwyrm.social/book/525636,,,isbn:9788495616708,,,,,,,,,849561670X,9788495616708.0,,2022-08-14,2022-08-28,,5.0,Sorprenent,,"(EN below)
Es tracta d'un llibre que va evolucionant contínuament on res no és el que sembla. 
El que al començament em semblava que només es tractava una història ben explicada però que s'assemblava massa a la seva anterior novel·la (La Pell Freda) i exigia fer massa actes de fe en virtut de l'entreteniment, va mutant en un seguit d'històries dins històries, amb un final sorprenent i intel·ligent on tot el que no tenia sentit pren una nova i inesperada dimensió.

---

This is a constantly evolving book where nothing is what it seems.
What at first seemed to me to be just a well-told story but too similar to his previous novel (La Pell Freda) and requiring too many acts of faith for the sake of entertainment, turns into a series of stories within stories, with a surprising and clever ending where everything that didn't make sense takes on a new and unexpected dimension.",2022-08-28,read,Read,2022-08-28,592,ca
Panza de burro,"Sabina Urraca, Andrea Abreu",https://bookwyrm.social/book/276291,OL30796058M,,,,,,,,,,,8412135334,9788412135336.0,1163950189.0,2021-12-13,2021-12-22,,3.0,"Sí, pero...",,"Se trata de un libro que tiene todas las papeletas para gustarme: habla de un tiempo y un lugar que me son muy familiares y a la vez muy lejanos, y lo hace con un lenguaje que es el mío y, a la vez, no lo es. Habla de situaciones cotidianas y a la vez serias a través de ópticas de niños... Y sin embargo, no me ha enganchado. Me ha dejado muy indiferente, y no sé explicar el por qué.",2021-12-26,read,Read,2021-12-26,172.0,es
Parque Jurásico.,Michael Crichton,https://bookwyrm.social/book/180299,OL22478260M,,,,,,,,,,,8401323924,9788401323928.0,,1991-07-01,1991-07-01,,5.0,,,,,read,Read,2017-05-10,,es
Participatory Action Research,"Jacques M. Chevalier, Daniel J. Buckles",https://bookwyrm.social/book/1446565,OL34669654M,,,,,,,,,,,113848623X,9781138486232.0,,,,,,,,,,,,,,en
Participatory Action Research: Theory and Methods for Engaged Inquiry,Jacques M. Chevalier,https://bookwyrm.social/book/1351680,,,isbn:9780415540315,,,,,,,,,415540313,9780415540315.0,,,,,,,,,,to-read,To Read,2023-08-18,,en
Perfume,Patrick Süskind,https://bookwyrm.social/book/14388,OL22123184M,,,,,,,,,,,140120831,9780140120837.0,,,2007-01-01,,1.0,Review of 'Perfume (International Writers)' on 'GoodReads',,Pretencioso y tedioso. Más que un libro parece un ejercicio literario.,2007-01-01,,,,272.0,es
Perfume: The Story of a Murderer,Patrick Süskind,https://bookwyrm.social/book/128995,OL7348045M,,isbn:9780140120837,,343.0,,,,,,,140120831,9780140120837.0,,,,,1.0,Review of 'Perfume: The Story of a Murderer' on 'Goodreads',,Pretencioso y tedioso. Más que un libro parece un ejercicio literario.,2007-01-01,,,,272.0,en
Planning and managing Drupal projects,Dani Nordin,https://bookwyrm.social/book/180321,OL25561362M,,,,,,,,,,,1449305482,9781449305482.0,,,,,2.0,,,,,read,Read,2017-11-04,,en
Platform Capitalism,Nick Srnicek,https://bookwyrm.social/book/13795,OL29320913M,,,,,,,,,,,1509504907,9781509504909.0,,2017-11-05,2017-12-10,,3.0,,,,,read,Read,2017-11-05,,en
Postmetropolis,Edward W. Soja,https://bookwyrm.social/book/180385,OL8750078M,,,,,,,,,,,1577180011,9781577180012.0,,,,,,,,,,to-read,To Read,2017-05-09,,en
Power Games,Jules Boykoff,https://bookwyrm.social/book/1691647,,,,,,,,,,,,1784780723,9781784780722.0,,,,,,,,,,,,,,en
"Primavera, estiu, etcètera",Marta Rojals,https://bookwyrm.social/book/345351,,,isbn:9788482649665,,,,,,,,,8482649663,9788482649665.0,,,2014-11-01,,4.0,,,,,read,Read,2015-02-24,,ca
Prisoners of Geography,Tim Marshall,https://bookwyrm.social/book/180102,OL27440215M,,,,,,,,,,,1501121472,9781501121470.0,,,,,,,,,,to-read,To Read,2021-10-10,,en
Pro Drupal 7 Development,Todd Tomlinson,https://bookwyrm.social/book/180319,OL25562086M,,,,,,,,,,,1430228385,9781430228387.0,,,,,,,,,,read,Read,2017-04-29,,en
Procomún digital y cultura libre : ¿hacia un cambio de época?,Mayo Fuster Morell,https://bookwyrm.social/book/345370,,,isbn:9788498886412,,,,,,,,,8498886414,9788498886412.0,,2016-11-30,2016-12-31,,2.0,,,,,read,Read,2017-11-04,,es
Python Data Science Handbook,Jake VanderPlas,https://bookwyrm.social/book/180292,OL26836556M,,,,,,,,,,,1491912057,9781491912058.0,,,,,,,,,,to-read,To Read,2018-10-12,548.0,en
Python for Data Analysis,Wes McKinney,https://bookwyrm.social/book/180294,OL26005473M,,isbn:9781449319793,,,,,,,,,1449319793,9781449319793.0,,,,,,,,,,to-read,To Read,2018-10-12,466.0,en
QGIS Map Design,"Anita Graser, Gretchen N Peterson",https://bookwyrm.social/book/345286,OL33897903M,,,,,,,,,,,989421759,9780989421751.0,,,,,,,,,,to-read,To Read,2017-11-04,,en
Qué hace una persona como tú en una crisis como esta?,Leopoldo Abadía,https://bookwyrm.social/book/180359,OL30506154M,,,,,,,,,,,8467034408,9788467034400.0,,2011-05-01,2011-07-10,,4.0,,,,,read,Read,2017-11-03,,es
R: Data Analysis and Visualization,"Tony Fischetti, Brett Lantz, Jaynal Abedin, Hrishi V. Mittal, Bater Makhabel, Edina Berlinger, Ferenc Illes, Milan Badics, Adam Banai, Gergely Daroczi",https://bookwyrm.social/book/276791,,,isbn:9781786460486,,,,,,,,,1786460483,9781786460486.0,,2017-11-04,,,,,,,,,,,,en
Reino mágico en venta--vendido,Terry Brooks,https://bookwyrm.social/book/345165,,,,,,,,,,,,8470024124,9788470024122.0,,,1993-01-01,,5.0,,,,,read,Read,2017-05-10,,es
Rent and its Discontents,Neil Gray,https://bookwyrm.social/book/433384,OL27803618M,,,,,,,,,,,1786605759,9781786605757.0,,,,,,,,,,to-read,To Read,2022-05-19,294.0,en
Restorative commons,"Lindsay K. Campbell, Anne Wiesen",https://bookwyrm.social/book/180403,OL25560387M,,,,,,,,,,,016086416X,9780160864162.0,722800966.0,,,,,,,,,to-read,To Read,2015-02-22,,en
RStudio for R statistical computing cookbook : over 50 practical and useful recipes to help you perform data analysis with R by unleashing every native RStudio feature,Andrea Cirillo,https://bookwyrm.social/book/345423,,,isbn:9781784396947,,,,,,,,,178439694X,9781784396947.0,,,2016-01-01,,1.0,,,,,read,Read,2017-05-09,,en
Rules for writers,Diana Hacker,https://bookwyrm.social/book/180377,OL3695801M,,,,,,,,,,,312406851,9780312406851.0,,,2012-11-01,,4.0,,,,,read,Read,2017-08-28,585.0,en
Saber perder,David Trueba,https://bookwyrm.social/book/180401,OL32139136M,,,,,,,,,,,8467228954,9788467228953.0,433872592.0,,2013-01-01,,4.0,,,,,read,Read,2015-02-23,455,es
Sentient city,Mark Shepard,https://bookwyrm.social/book/180355,OL24384978M,,,,,,,,,,,262515865,9780262515863.0,664354727.0,,,,2.0,,,,,read,Read,2017-11-04,,en
Siddharta,Hermann Hesse,https://bookwyrm.social/book/101697,OL9200402M,,,,,,,,,,,9875660833,9789875660830.0,566789845.0,2004-01-01,2004-01-30,,,,,,,,,,,es
Simiocracia,Aleix Saló,https://bookwyrm.social/book/428962,OL25440059M,,isbn:9788499896977,,,,,,,,,8499896979,9788499896977.0,869926973.0,,2013-11-06,,4.0,,,,,read,Read,2023-11-06,,es
Sin noticias de Gurb,Eduardo Mendoza,https://bookwyrm.social/book/180363,OL1654052M,,,,,,,,,,,8432206407,9788432206405.0,24340335.0,,,,2.0,Review of 'Sin noticias de Gurb' on 'GoodReads',,"Creo que lo leí a destiempo, porque no me entusiasmó en absoluto. Posteriormente me he enterado que a casi todo el mundo le encantó, y he podido ver a gente reír mientras lo leían.",2017-10-20,read,Read,2017-10-20,139.0,es
