title,author_text,remote_id,openlibrary_key,finna_key,inventaire_id,librarything_key,goodreads_key,bnf_id,viaf,wikidata,asin,aasin,isfdb,isbn_10,isbn_13,oclc_number,start_date,finish_date,stopped_date,rating,review_name,review_cw,review_content,review_published,shelf,shelf_name,shelf_date,pages,language
Canto jo i la muntanya balla,Irene Solà,https://bookwyrm.social/book/120788,OL28169209M,,isbn:9788433915689,,45286062.0,,,,,,,8433915681,9788433915689.0,,2024-07-17,2024-08-24,,5.0,Diferent i sorprenent,Podria considerar-se un espòiler,"Un llibre molt diferent de cap altre que hagi llegit, una història coral que comprèn diverses generacions i diferents mirades (i estils) sobre una sèrie d'esdeveniments relacionats amb una família, però sobretot amb un mateix indret. I és que són les muntanyes, els Pirineus, les veritables protagonistes del llibre.

M'ha encantat, malgrat moltes de les històries que explica siguin tristes.",2024-08-25,read,Read,2024-11-01,190,ca
Capitalist Realism,Mark Fisher,https://bookwyrm.social/book/46940,OL24611852M,,isbn:9781846943171,,6763725.0,,,,,,,1846943175,9781846943171.0,699737863.0,,,,,,,,,to-read,To Read,2025-09-11,81.0,en
Carta abierta de Woody Allen a Platón,Juan Antonio Rivera,https://bookwyrm.social/book/180351,OL22724489M,,,,,,,,,,,8467020326,9788467020328.0,,,,,,,,,,to-read,To Read,2017-11-04,293.0,es
"Cavall, atleta, ocell",Manuel Baixauli,https://bookwyrm.social/book/1760979,,,,,,,,,,,,8419332690,9788419332691.0,,2025-07-20,2025-07-28,,3.0,,,,,read,Read,2025-07-28,256,ca
Choque De Reyes,George R. R. Martin,https://bookwyrm.social/book/456262,OL26882609M,,,,,,,,,,,8493270229,9788493270223.0,,2013-06-01,2013-12-09,,4.0,,,,,read,Read,2025-12-09,,es
Chums: How a Tiny Caste of Oxford Tories Took Over the UK,Simon Kuper,https://bookwyrm.social/book/1314654,OL35563943M,,,,,,,,,,,1788167384,9781788167383.0,1329265086.0,,,,,,,,,to-read,To Read,2024-04-16,,en
"Cities for people, not for profit","Neil Brenner, Peter Marcuse, Margit Mayer",https://bookwyrm.social/book/180357,,,,,,,,,,,,415601770,9780415601771.0,,,2017-01-01,,5.0,,,,,read,Read,2017-11-04,,en
City Reader,"Richard T. LeGates, Frederic Stout",https://bookwyrm.social/book/345333,OL28072696M,,,,,,,,,,,367204797,9780367204792.0,,,,,,,,,,to-read,To Read,2022-03-08,,en
Ciudad Negra,Fernando Gamboa,https://bookwyrm.social/book/180375,OL28942039M,,,,,,,,,,,8466654062,9788466654067.0,,2017-08-13,2017-08-26,,3.0,,,,,read,Read,2017-08-13,,es
Ciudades rebeldes,David Harvey,https://bookwyrm.social/book/180389,OL25945173M,,,,,,,,,,,8446037998,9788446037996.0,865552156.0,2014-01-01,2014-01-01,,5.0,,,,,read,Read,2017-05-09,198,es
Commonwealth : el proyecto de una revolución del común,Michael Hardt,https://bookwyrm.social/book/345410,,,isbn:9788446032304,,,,,,,,,8446032309,9788446032304.0,,,2016-01-01,,3.0,,,,,read,Read,2017-05-10,,es
Cómo no hacer nada,Jenny Odell,https://bookwyrm.social/book/347515,,,,,,,,,,,,8434433427,9788434433427.0,,,,,,,,,,to-read,To Read,2022-04-22,,es
Común,"Christian Laval, Pierre Dardot, Alfonso Díez",https://bookwyrm.social/book/180305,OL30517670M,,,,,,,,,,,8497848802,9788497848800.0,,2017-05-09,2018-03-08,,4.0,,,,,read,Read,2022-03-08,672.0,es
Contact,Carl Sagan,https://bookwyrm.social/book/20374,OL22447504M,,,,,,,,,,,1857235800,9781857235807.0,,,2004-01-01,,5.0,,,,,read,Read,2021-08-19,,en
Contra el rebaño digital : un manifiesto,Jaron Lanier,https://bookwyrm.social/book/345406,,,isbn:9788483069172,,,,,,,,,8483069172,9788483069172.0,,,2012-07-26,,3.0,,,,,read,Read,2017-05-10,,es
Contra la sostenibilidad,Andreu Escrivà,https://bookwyrm.social/book/1316959,OL47275989M,,,,,,,,,,,841874183X,9788418741838.0,,2023-08-07,2023-09-20,,4.0,"Un básico para entender qué es, qué no es, y qué debería ser la sostenibilidad",,"Un básico para entender qué es, qué no es, y qué debería ser la sostenibilidad.
En la primera (y más larga) parte del libro, Escrivà se dedica a argumentar por qué la sostenibilidad, tal y como se entiende mayormente actualmente, no es la solución (y a veces es un problema), y para ello se dedica a diseccionar y desmontar los pilares en los que se sustenta: neutralidad climática, extralimitación, superpoblación, superricos, huella de carbono, energía, transición ecológica, economía circular, coche eléctrico... e incluso finanzas sostenibles.  

En la segunda, mucho más propositiva (más, incluso que en [su anterior libro](https://bookwyrm.social/book/1266679/s/i-ara-jo-que-faig)), defiende que en lugar de sostenibilidad deberíamos usar otro concepto que tuviese otros nuevos significantes y conectase con otros valores relacionados con cuidados, bienestar, decrecimiento, democracia, comunidad... entre otros tanto o más ilusionantes e importantes.

Se trata de un libro muy recomendable al que volver de vez en cuando.",2023-12-31,read,Read,2023-09-20,,es
Contra lo común,Álvaro Sevilla-Buitrago,https://bookwyrm.social/book/1523589,,,,,,,,,,,,8411484033,9788411484039.0,,,,,,,,,,to-read,To Read,2024-01-10,,es
