"id","domain","open_registration","description","banner_url","location.city","location.country","software.id","software.name","software.url","software.version","stats.status_count","stats.user_count","stats.monthly_active_users","first_seen_at","last_seen_at","date_scraped"
17378,"c.im",TRUE,"C.IM is a general, mainly English-speaking Mastodon instance.","https://fedidb.pixelcdn.net/instances/17378/baud18gb_thumbnail.png",NA,United States,  2,Mastodon,https://fedidb.org/software/mastodon,4.1.2, 1512631,   63303,    6642,"2021-03-21T07:02:08.000000Z","2023-06-21T04:09:01.000000Z",2023-06-21
18015,"fosstodon.org",TRUE,"Fosstodon is an English speaking Mastodon instance that is open to anyone who is interested in technology; particularly free &amp; open source software.","https://fedidb.pixelcdn.net/instances/18015/kkocaigk_thumbnail.png",NA,France,  2,Mastodon,https://fedidb.org/software/mastodon,4.1.2, 2272767,   58921,   15521,"2021-03-21T07:03:03.000000Z","2023-06-21T07:08:37.000000Z",2023-06-21
15853,"infosec.exchange",TRUE,"A Mastodon instance for info/cyber security-minded people.
","https://fedidb.pixelcdn.net/instances/15853/asnwdl5p_thumbnail.png",Seattle,United States,  2,Mastodon,https://fedidb.org/software/mastodon,4.1.1+glitch, 1528043,   55215,   17523,"2021-03-21T06:59:49.000000Z","2023-06-21T04:08:11.000000Z",2023-06-21
16950,"mastodon.top",FALSE,"Mastodon.top est une instance francophone stable, régulièrement mise à jour et accessible à tous hébergée par VirtuBox","https://fedidb.pixelcdn.net/instances/16950/tf0gpngi_thumbnail.png",NA,Germany,  2,Mastodon,https://fedidb.org/software/mastodon,4.1.2,  503411,   50970,    4082,"2021-03-21T07:01:27.000000Z","2023-06-21T04:08:47.000000Z",2023-06-21
30282,"mstdn.party",TRUE,"Mastodon Party is a general-purpose Mastodon instance, welcome to the fediverse!","https://fedidb.pixelcdn.net/instances/30282/xgchvulz_thumbnail.png",NA,NA,  2,Mastodon,https://fedidb.org/software/mastodon,4.1.0, 1108472,   49195,    6169,"2022-11-09T11:03:10.000000Z","2023-06-21T04:15:14.000000Z",2023-06-21
23869,"hachyderm.io",TRUE,"Hachyderm is a safe space, LGBTQIA+ and BLM, primarily comprised of tech industry professionals world wide. Note that many non-user account types have restrictions - please see our About page.","https://fedidb.pixelcdn.net/instances/23869/muwbybkf_thumbnail.png",NA,NA,  2,Mastodon,https://fedidb.org/software/mastodon,4.1.2, 1445149,   47765,   14712,"2022-04-27T21:01:52.000000Z","2023-06-21T07:10:42.000000Z",2023-06-21
17920,"troet.cafe",TRUE,"Hallo im troet.cafe!
Dies ist die derzeit größte deutschsprachige Mastodon Instanz zum tröten, neue Leute kennenlernen, sich auszutauschen und Spaß zu haben.","https://fedidb.pixelcdn.net/instances/17920/obkckfsi_thumbnail.png",NA,Germany,  2,Mastodon,https://fedidb.org/software/mastodon,4.1.2, 2468289,   40188,   11150,"2021-03-21T07:02:55.000000Z","2023-06-21T04:09:18.000000Z",2023-06-21
64543,"kbin.social",TRUE,NA,NA,NA,NA,119,Kbin,https://fedidb.org/software/kbin,0.10.1,   16010,   39424,   39364,"2023-04-30T02:00:13.000000Z","2023-06-21T03:19:12.000000Z",2023-06-21
17575,"m.cmx.im",FALSE,"长毛象中文站是一个开放、友好、有爱的社区。长毛象中文站主题为喵、汪、各种动物、社交、科技、编程及生活。我们欢迎友好、热情、乐于分享的朋友，无论你的兴趣点是什么。","https://fedidb.pixelcdn.net/instances/17575/qcju4wkp_thumbnail.png",NA,United States,  2,Mastodon,https://fedidb.org/software/mastodon,4.1.2, 4193405,   39277,    9727,"2021-03-21T07:02:25.000000Z","2023-06-21T04:09:07.000000Z",2023-06-21
17996,"mastodon.nl",TRUE,"Mastodon voor de Nederlandse community - door de Nederlandse community","https://fedidb.pixelcdn.net/instances/17996/d4eq1ynx_thumbnail.png",Nuremberg,Germany,  2,Mastodon,https://fedidb.org/software/mastodon,4.0.2, 1206704,   38941,    7423,"2021-03-21T07:03:02.000000Z","2023-06-21T08:08:25.000000Z",2023-06-21
18027,"mamot.fr",FALSE,"Mamot.fr est un serveur Mastodon francophone, géré par La Quadrature du Net.","https://fedidb.pixelcdn.net/instances/18027/ajficvud_thumbnail.png",NA,France,  2,Mastodon,https://fedidb.org/software/mastodon,4.1.1, 6195585,   38454,    2964,"2021-03-30T20:10:47.000000Z","2023-06-21T06:09:50.000000Z",2023-06-21
29966,"ohai.social",TRUE,"ohai.social is a fast, secure and up-to-date Mastodon server where everyone is welcome. Join us!","https://fedidb.pixelcdn.net/instances/29966/u2wb7hwe_thumbnail.png",NA,NA,  2,Mastodon,https://fedidb.org/software/mastodon,4.1.2,  755556,   38332,    4850,"2022-11-08T23:30:25.000000Z","2023-06-21T04:15:04.000000Z",2023-06-21
66350,"lemmy.world",TRUE,NA,NA,NA,NA, 59,Lemmy,https://fedidb.org/software/lemmy,0.17.4,   23153,   38133,   10739,"2023-06-03T00:30:08.000000Z","2023-06-21T07:20:58.000000Z",2023-06-21
17515,"sfba.social",TRUE,"A Mastodon instance for the San Francisco Bay Area. Come on in and join us!","https://fedidb.pixelcdn.net/instances/17515/suhb1rue_thumbnail.png",Fremont,United States,  2,Mastodon,https://fedidb.org/software/mastodon,4.1.1, 1218711,   37984,    5870,"2021-03-21T07:02:20.000000Z","2023-06-21T06:09:36.000000Z",2023-06-21
18512,"lemmy.ml",FALSE,NA,NA,NA,France, 59,Lemmy,https://fedidb.org/software/lemmy,0.17.4,   82400,   36971,    3695,"2021-04-27T00:08:32.000000Z","2023-06-21T09:08:53.000000Z",2023-06-21
29103,"home.social",FALSE,"Hosted fully redundant in Germany. Committed to speed &amp; availability. For people who want to be excellent to each other. English and German. Operated for the community by Rottmann Ventures GmbH.","https://fedidb.pixelcdn.net/instances/29103/5bigbga5_thumbnail.png",NA,NA,  2,Mastodon,https://fedidb.org/software/mastodon,4.1.2,  740840,   36537,    5496,"2022-11-10T02:00:12.000000Z","2023-06-16T20:14:03.000000Z",2023-06-21
18037,"kolektiva.social",TRUE,"Kolektiva is an anti-colonial anarchist collective that offers federated social media to anarchist collectives and individuals in the fediverse. For the social movements and liberation!","https://fedidb.pixelcdn.net/instances/18037/bf3feh5g_thumbnail.png",NA,NA,  2,Mastodon,https://fedidb.org/software/mastodon,4.1.2, 1577384,   36184,    6608,"2021-03-21T07:03:05.000000Z","2023-06-21T07:08:38.000000Z",2023-06-21
66992,"lemmy.k6qw.com",TRUE,NA,NA,NA,NA, 59,Lemmy,https://fedidb.org/software/lemmy,0.17.4,       1,   35521,       1,"2023-06-13T18:03:30.000000Z","2023-06-21T07:21:11.000000Z",2023-06-21
23268,"mindly.social",TRUE,"Mindly.Social is an English speaking, friendly Mastodon instance created for people who want to use their brains and their hearts to make social networking more social. 🧠💖","https://fedidb.pixelcdn.net/instances/23268/eqwiucf5_thumbnail.png",NA,NA,  2,Mastodon,https://fedidb.org/software/mastodon,4.1.2,  867918,   35459,    4083,"2022-04-10T20:01:45.000000Z","2023-06-21T04:11:41.000000Z",2023-06-21
23732,"mstdn.ca",TRUE,"A community for Canadians, First nations, Metis, and Inuit Peoples of the great white north.","https://fedidb.pixelcdn.net/instances/23732/zgumow5y_thumbnail.png",NA,NA,  2,Mastodon,https://fedidb.org/software/mastodon,4.1.2+glitch, 1255786,   34381,    6451,"2022-04-27T09:01:24.000000Z","2023-06-21T06:12:03.000000Z",2023-06-21
18046,"mastodon.art",TRUE,"Mastodon.ART — Your friendly home on the fediverse for all things creative, all on a platform that is community-owned and ad-free. NO CRYPTOART / NFTs ALLOWED.","https://fedidb.pixelcdn.net/instances/18046/fcmhhwue_thumbnail.png",Dompierre-sur-Mer,France,  2,Mastodon,https://fedidb.org/software/mastodon,4.1.2, 2383804,   32088,    6114,"2021-03-21T07:03:06.000000Z","2023-06-21T03:08:38.000000Z",2023-06-21
32135,"social.vivaldi.net",TRUE,"Vivaldi Social is part of the Mastodon network and is hosted in Iceland by the makers of Vivaldi Browser. Everyone is welcome to join.","https://fedidb.pixelcdn.net/instances/32135/aipl7eoa_thumbnail.png",NA,NA,  2,Mastodon,https://fedidb.org/software/mastodon,4.1.2,  940906,   31831,    6501,"2022-11-13T22:02:02.000000Z","2023-06-21T07:13:46.000000Z",2023-06-21
